Unnamed: 0,timestamp,timezone,humidity,pm_2_5,pm_2_5_sp,temperature,year,month,day,weekday,hour,pm_2_5_lag1,pm_2_5_lag7,pm_2_5_smooth
726,2024-06-13 07:00:00,Asia/Bangkok,36.53757023,0.46111131569409386,15.35669674,38.293678,2024,6,13,3,7,0.3293483689442951,0.22976670825752615,0.4084822568626224
727,2024-06-14 07:00:00,Asia/Bangkok,40.73637109,0.2991861463831194,10.22160445,37.20482129,2024,6,14,4,7,0.46111131569409386,0.3666211949446745,0.37419379080711246
728,2024-06-15 07:00:00,Asia/Bangkok,41.09278976,0.2953533763851899,10.29047619,37.40530159,2024,6,15,5,7,0.2991861463831194,0.314241213999756,0.36172620161481733
729,2024-06-16 07:00:00,Asia/Bangkok,42.37676855,0.31328575457695573,10.78496868,37.54499652,2024,6,16,6,7,0.2953533763851899,0.23549214240421978,0.30751150029006746
730,2024-06-17 07:00:00,Asia/Bangkok,55.79825472,0.2325767259242948,8.331944444,32.74586806,2024,6,17,0,7,0.31328575457695573,0.28215185353648037,0.283082640975755
731,2024-06-18 07:00:00,Asia/Bangkok,50.5381722,0.18288099696824955,7.09340252,33.39088213,2024,6,18,1,7,0.2325767259242948,0.39267945374526375,0.241833641741167
732,2024-06-19 07:00:00,Asia/Bangkok,47.67324626,0.30912721971150015,10.68717569,35.10951075,2024,6,19,2,7,0.18288099696824955,0.3293483689442951,0.24030850817173927
733,2024-06-20 07:00:00,Asia/Bangkok,45.84335964,0.20485365032582403,7.60666138,35.39201427,2024,6,20,3,7,0.30912721971150015,0.46111131569409386,0.23014113081144932
734,2024-06-21 07:00:00,Asia/Bangkok,44.31590593,0.20010969621541036,7.661971831,35.78804299,2024,6,21,4,7,0.20485365032582403,0.2991861463831194,0.23645971859045067
735,2024-06-22 07:00:00,Asia/Bangkok,52.10356646,0.0964420504266288,4.489294211,32.65335448,2024,6,22,5,7,0.20010969621541036,0.2953533763851899,0.15845789778324815
736,2024-06-23 07:00:00,Asia/Bangkok,52.08417523,0.13720753093667493,5.653018737,32.47820264,2024,6,23,6,7,0.0964420504266288,0.31328575457695573,0.13364883140294187
737,2024-06-24 07:00:00,Asia/Bangkok,46.74746938,0.4194608416556743,14.14335421,34.30187891,2024,6,24,0,7,0.13720753093667493,0.2325767259242948,0.21409538439023168
738,2024-06-25 07:00:00,Asia/Bangkok,49.58926921,0.4752464212595147,15.45743893,33.64707624,2024,6,25,1,7,0.4194608416556743,0.18288099696824955,0.35302105915185983
739,2024-06-26 07:00:00,Asia/Bangkok,45.64818348,0.9568922978452095,31.87925926,36.36333333,2024,6,26,2,7,0.4752464212595147,0.30912721971150015,0.653638655206034
740,2024-06-27 07:00:00,Asia/Bangkok,42.66015632,0.8521979432714034,27.66600791,37.51971344,2024,6,27,3,7,0.9568922978452095,0.20485365032582403,0.8123440410604077
741,2024-06-28 07:00:00,Asia/Bangkok,43.96745673,0.435185096023203,14.41337631,35.99025786,2024,6,28,4,7,0.8521979432714034,0.20010969621541036,0.7976516376225525
742,2024-06-29 07:00:00,Asia/Bangkok,53.23265258,0.5927168894274558,18.83584457,34.02365583,2024,6,29,5,7,0.435185096023203,0.0964420504266288,0.6640911028410047
743,2024-06-30 07:00:00,Asia/Bangkok,51.58161316,0.41448969645903466,13.96034893,34.75690722,2024,6,30,6,7,0.5927168894274558,0.13720753093667493,0.5035625603549831
744,2024-07-01 07:00:00,Asia/Bangkok,48.72753886,0.4159577551054365,13.69951923,35.17947115,2024,7,1,0,7,0.41448969645903466,0.4194608416556743,0.49651097511324116
745,2024-07-02 07:00:00,Asia/Bangkok,45.13077949,0.4114414382674538,13.47297297,35.82274245,2024,7,2,1,7,0.4159577551054365,0.4752464212595147,0.4300285997521818
746,2024-07-03 07:00:00,Asia/Bangkok,47.19383249,0.462774333810486,15.31930103,34.90130262,2024,7,3,2,7,0.4114414382674538,0.9568922978452095,0.44773688492830543
747,2024-07-04 07:00:00,Asia/Bangkok,44.47662104,0.46161071125296144,16.25185185,36.08221481,2024,7,4,3,7,0.462774333810486,0.8521979432714034,0.46448000677696
748,2024-07-05 07:00:00,Asia/Bangkok,48.70357731,0.3602281416919287,12.2410342,34.0842035,2024,7,5,4,7,0.46161071125296144,0.435185096023203,0.44569764223380903
749,2024-07-06 07:00:00,Asia/Bangkok,50.78118141,0.5287953706982472,17.73133117,33.03021104,2024,7,6,5,7,0.3602281416919287,0.5927168894274558,0.4699107131599123
750,2024-07-07 07:00:00,Asia/Bangkok,48.3872175,0.23283579971354157,8.40530303,35.19518939,2024,7,7,6,7,0.5287953706982472,0.41448969645903466,0.3860080145604628
751,2024-07-08 07:00:00,Asia/Bangkok,47.64037746,0.29264293335119645,10.16396243,34.9133988,2024,7,8,0,7,0.23283579971354157,0.4159577551054365,0.3612212871739839
752,2024-07-09 07:00:00,Asia/Bangkok,47.44474788,0.21147894842749254,7.774462179,35.30321305,2024,7,9,1,7,0.29264293335119645,0.4114414382674538,0.24484618310645906
753,2024-07-10 07:00:00,Asia/Bangkok,49.36156958,0.15722442249387375,6.463492063,34.64185862,2024,7,10,2,7,0.21147894842749254,0.462774333810486,0.21711587583254305
754,2024-07-11 07:00:00,Asia/Bangkok,51.43747291,0.48561473685143103,15.71058475,34.21411547,2024,7,11,3,7,0.15722442249387375,0.46161071125296144,0.2878878628407537
755,2024-07-12 07:00:00,Asia/Bangkok,48.126596,0.35536769478916896,11.9903775,34.82373057,2024,7,12,4,7,0.48561473685143103,0.3602281416919287,0.3406587459616336
756,2024-07-13 07:00:00,Asia/Bangkok,52.882425,0.38910891442277945,12.80948851,33.75273739,2024,7,13,5,7,0.35536769478916896,0.5287953706982472,0.42570187636994783
757,2024-07-14 07:00:00,Asia/Bangkok,46.32103513,0.7110194388372216,23.21597633,36.1064571,2024,7,14,6,7,0.38910891442277945,0.23283579971354157,0.5083685579844386
758,2024-07-15 07:00:00,Asia/Bangkok,47.3465068,0.3001607830890149,10.87130178,34.50488166,2024,7,15,0,7,0.7110194388372216,0.29264293335119645,0.4881215438262174
759,2024-07-16 07:00:00,Asia/Bangkok,44.94921192,0.4543669186428398,15.67949667,36.36367135,2024,7,16,1,7,0.3001607830890149,0.21147894842749254,0.5120547741897832
761,2024-07-18 07:00:00,Asia/Bangkok,55.99693319,0.5150730607792765,16.49925926,32.85184444,2024,7,18,3,7,0.4543669186428398,0.15722442249387375,0.4401918684663262
762,2024-07-19 07:00:00,Asia/Bangkok,44.61472593,0.8538296205481678,27.0237037,37.07274815,2024,7,19,4,7,0.5150730607792765,0.48561473685143103,0.64324870402864
763,2024-07-20 07:00:00,Asia/Bangkok,48.31172351,0.7613745745127728,24.26135458,36.03885259,2024,7,20,5,7,0.8538296205481678,0.35536769478916896,0.7558430905583887
764,2024-07-21 07:00:00,Asia/Bangkok,45.64369013,0.7946327307331748,26.58373871,36.32227936,2024,7,21,6,7,0.7613745745127728,0.38910891442277945,0.8583709882674074
769,2024-07-26 07:00:00,Asia/Bangkok,41.43783964,0.8238671402525204,27.41049672,37.75345829,2024,7,26,4,7,0.7946327307331748,0.7110194388372216,0.8473823141308011
770,2024-07-27 07:00:00,Asia/Bangkok,48.94676723,0.9458359292233609,30.10189076,35.67945378,2024,7,27,5,7,0.8238671402525204,0.3001607830890149,0.9150331126531812
771,2024-07-28 07:00:00,Asia/Bangkok,44.45547856,0.9807073624156348,32.17626648,36.97340042,2024,7,28,6,7,0.9458359292233609,0.4543669186428398,0.9832755769776265
772,2024-07-29 07:00:00,Asia/Bangkok,53.27393537,0.5995224943462759,20.42030135,33.34881047,2024,7,29,0,7,0.9807073624156348,0.5150730607792765,0.900997668612537
773,2024-07-30 07:00:00,Asia/Bangkok,50.04964961,0.3775241470748745,12.59921875,34.34988281,2024,7,30,1,7,0.5995224943462759,0.8538296205481678,0.6925705651016512
774,2024-07-31 07:00:00,Asia/Bangkok,46.29255732,0.6968091163914866,21.93028169,36.07534507,2024,7,31,2,7,0.3775241470748745,0.7613745745127728,0.5884515041049994
775,2024-08-01 07:00:00,Asia/Bangkok,48.716338,0.9672037918969869,31.99037037,35.7368,2024,8,1,3,7,0.6968091163914866,0.7946327307331748,0.7232978160605662
776,2024-08-02 07:00:00,Asia/Bangkok,48.03036635,0.7435569901517496,23.97142857,35.19815079,2024,8,2,4,7,0.9672037918969869,0.8238671402525204,0.8575395609421366
777,2024-08-03 07:00:00,Asia/Bangkok,45.84884826,0.6896211878403773,22.13027387,36.03430052,2024,8,3,5,7,0.7435569901517496,0.9458359292233609,0.8549034038621494
778,2024-08-04 07:00:00,Asia/Bangkok,52.46861427,0.6240727256920181,20.69941226,33.60684299,2024,8,4,6,7,0.6896211878403773,0.9807073624156348,0.7290608355744876
779,2024-08-05 07:00:00,Asia/Bangkok,49.18951954,0.30737932763107684,10.643026,33.70874704,2024,8,5,0,7,0.6240727256920181,0.5995224943462759,0.5690936315308811
780,2024-08-06 07:00:00,Asia/Bangkok,47.16348299,0.3771593875472939,12.91151793,35.44786423,2024,8,6,1,7,0.30737932763107684,0.3775241470748745,0.4544989494592212
781,2024-08-07 07:00:00,Asia/Bangkok,47.25265821,0.18917389407801588,7.080487805,35.08680488,2024,8,7,2,7,0.3771593875472939,0.6968091163914866,0.2950007538545211
782,2024-08-08 07:00:00,Asia/Bangkok,48.01554039,0.12154691835373581,5.297628782,35.04802944,2024,8,8,3,7,0.18917389407801588,0.9672037918969869,0.22684712406754315
783,2024-08-09 07:00:00,Asia/Bangkok,44.7880741,0.5059510338283629,16.30391341,36.43962531,2024,8,9,4,7,0.12154691835373581,0.7435569901517496,0.2740811787430946
784,2024-08-10 07:00:00,Asia/Bangkok,51.10043131,0.5735599680549374,18.2741433,34.39257009,2024,8,10,5,7,0.5059510338283629,0.6896211878403773,0.41505393092861653
785,2024-08-11 07:00:00,Asia/Bangkok,48.42425926,0.3490550717241597,11.78237952,35.13768825,2024,8,11,6,7,0.5735599680549374,0.6240727256920181,0.4984920487393052
786,2024-08-12 07:00:00,Asia/Bangkok,49.34171459,0.21385279741149504,7.860428232,34.66927042,2024,8,12,0,7,0.3490550717241597,0.30737932763107684,0.39136565919509037
787,2024-08-13 07:00:00,Asia/Bangkok,42.71100102,0.22747950833663882,8.541757444,36.198061,2024,8,13,1,7,0.21385279741149504,0.3771593875472939,0.26444140728515153
788,2024-08-14 07:00:00,Asia/Bangkok,43.67219167,0.28783875389070157,10.00416378,37.16344205,2024,8,14,2,7,0.22747950833663882,0.18917389407801588,0.24199045656687873
789,2024-08-15 07:00:00,Asia/Bangkok,51.45883671,0.3167818117972347,10.71132494,34.55259808,2024,8,15,3,7,0.28783875389070157,0.12154691835373581,0.27973944754247815
790,2024-08-16 07:00:00,Asia/Bangkok,49.79595177,0.4801053681085096,16.08061154,35.38225156,2024,8,16,4,7,0.3167818117972347,0.5059510338283629,0.37238942925698887
791,2024-08-17 07:00:00,Asia/Bangkok,50.88272922,0.4920208760341945,16.52246377,35.17121102,2024,8,17,5,7,0.4801053681085096,0.5735599680549374,0.4472727761166796
792,2024-08-18 07:00:00,Asia/Bangkok,50.38925992,0.3754622937414787,12.79206349,34.79145238,2024,8,18,6,7,0.4920208760341945,0.3490550717241597,0.46879371456709185
793,2024-08-19 07:00:00,Asia/Bangkok,52.78779422,0.25657062367749345,9.139461173,34.31402536,2024,8,19,0,7,0.3754622937414787,0.21385279741149504,0.38681283579722353
794,2024-08-20 07:00:00,Asia/Bangkok,51.940955,0.1955242890287568,7.258730159,34.2583254,2024,8,20,1,7,0.25657062367749345,0.22747950833663882,0.27807336079147676
795,2024-08-21 07:00:00,Asia/Bangkok,49.80343121,0.11132122273174842,4.883495146,33.14749653,2024,8,21,2,7,0.1955242890287568,0.28783875389070157,0.18120020053305197
796,2024-08-22 07:00:00,Asia/Bangkok,42.17843468,0.1842382828145549,6.962698413,36.83447619,2024,8,22,3,7,0.11132122273174842,0.3167818117972347,0.15467247267347828
797,2024-08-23 07:00:00,Asia/Bangkok,49.35961093,0.16204507201277218,6.504587156,35.17135947,2024,8,23,4,7,0.1842382828145549,0.4801053681085096,0.14239404303389908
798,2024-08-24 07:00:00,Asia/Bangkok,56.29581662,0.15708501884489778,6.184323859,32.39482343,2024,8,24,5,7,0.16204507201277218,0.4920208760341945,0.159177815197599
799,2024-08-25 07:00:00,Asia/Bangkok,48.8856221,0.09494920199100422,4.435719249,34.43608756,2024,8,25,6,7,0.15708501884489778,0.3754622937414787,0.1264312400327371
800,2024-08-26 07:00:00,Asia/Bangkok,55.79987892,0.1242459157647302,5.250185598,32.28504826,2024,8,26,0,7,0.09494920199100422,0.25657062367749345,0.11256848212518346
801,2024-08-27 07:00:00,Asia/Bangkok,51.15559701,0.12001183049636806,5.136900625,33.82159138,2024,8,27,1,7,0.1242459157647302,0.1955242890287568,0.09897197135747486
